Local time,Open,High,Low,Close,Volume
31.12.2013 21:00:00.000 GMT-0500,1.45934,1.45934,1.45934,1.45934,0
01.01.2014 01:00:00.000 GMT-0500,1.45934,1.45934,1.45934,1.45934,0
01.01.2014 05:00:00.000 GMT-0500,1.45934,1.45934,1.45934,1.45934,0
01.01.2014 09:00:00.000 GMT-0500,1.45934,1.45934,1.45934,1.45934,0
01.01.2014 13:00:00.000 GMT-0500,1.45934,1.45934,1.45934,1.45934,0
01.01.2014 17:00:00.000 GMT-0500,1.46355,1.46633,1.46187,1.46423,6686.2801
01.01.2014 21:00:00.000 GMT-0500,1.46421,1.46571,1.46099,1.46225,7494.5199
02.01.2014 01:00:00.000 GMT-0500,1.46220,1.46345,1.45899,1.46048,19738.7002
02.01.2014 05:00:00.000 GMT-0500,1.46048,1.46077,1.44956,1.45081,31466.0698
02.01.2014 09:00:00.000 GMT-0500,1.45078,1.45505,1.44436,1.45505,34436.5098
02.01.2014 13:00:00.000 GMT-0500,1.45505,1.45872,1.45409,1.45868,14311.370100000002
02.01.2014 17:00:00.000 GMT-0500,1.45874,1.45874,1.45671,1.45687,6864.6299
02.01.2014 21:00:00.000 GMT-0500,1.45687,1.45735,1.45245,1.45289,13937.139599999999
03.01.2014 01:00:00.000 GMT-0500,1.45289,1.45601,1.44916,1.45178,20608.2495
03.01.2014 05:00:00.000 GMT-0500,1.45180,1.45321,1.44497,1.44793,22091.25
03.01.2014 09:00:00.000 GMT-0500,1.44792,1.44814,1.44193,1.44324,26351.8296
03.01.2014 13:00:00.000 GMT-0500,1.44330,1.44616,1.44239,1.44433,12773.5902
03.01.2014 17:00:00.000 GMT-0500,1.44433,1.44433,1.44433,1.44433,0
03.01.2014 21:00:00.000 GMT-0500,1.44433,1.44433,1.44433,1.44433,0
04.01.2014 01:00:00.000 GMT-0500,1.44433,1.44433,1.44433,1.44433,0
04.01.2014 05:00:00.000 GMT-0500,1.44433,1.44433,1.44433,1.44433,0
04.01.2014 09:00:00.000 GMT-0500,1.44433,1.44433,1.44433,1.44433,0
04.01.2014 13:00:00.000 GMT-0500,1.44433,1.44433,1.44433,1.44433,0
04.01.2014 17:00:00.000 GMT-0500,1.44433,1.44433,1.44433,1.44433,0
04.01.2014 21:00:00.000 GMT-0500,1.44433,1.44433,1.44433,1.44433,0
05.01.2014 01:00:00.000 GMT-0500,1.44433,1.44433,1.44433,1.44433,0
